S.No,WARD,CATEGORY,ADDRESS,ADDRESS/ LANDMARK,GPS DEVICE ID,GPS WAY POINT ID,LATITUDE,LONGITUDE,SURVEYOR,ALLOCATION DATE,SURVEY DATE,DATA ENTRY DATE,ZONE,REASON
99,5,Subway,MANIKAM NAGAR,thiruvetriyur.ajas bus stop,13,82,13.172899,80.303215,P. Suresh,23/01/2015,23/01/2015,27/01/2015,1,
98,5,NNMP shed,SAKTHIPURAM 2 nd STREET,sri rangam new town.57,13,83,13.179039,80.309969,P. Suresh,23/01/2015,23/01/2015,27/01/2015,1,
93,5,Community centre,BHARATH NAGAR      2 nd STREET,itc quarters .57,13,84,13.18495,80.309178,P. Suresh,23/01/2015,23/01/2015,27/01/2015,1,
88,5,Anganwadis,BHARATH NAGAR 1 St CROSS STREET,Ennure sunami quatrers near,13,85,13.184728,80.309197,P. Suresh,23/01/2015,23/01/2015,27/01/2015,1,
94,5,NNMP shed,BHARATH NAGAR 1 St CROSS STREET,itc quarters .57,13,86,13.184739,80.309201,P. Suresh,23/01/2015,23/01/2015,27/01/2015,1,
87,5,Amma canteen,Bharathiyar nagar 2 nd street,Ennure sunami quatrers near,13,87,13.185259,80.316765,P. Suresh,23/01/2015,23/01/2015,27/01/2015,1,
89,5,Anganwadis,BHARATHIYAR NAGAR 6 th STREET,Ennure sunami quatrers near,13,88,13.187253,80.315314,P. Suresh,23/01/2015,23/01/2015,27/01/2015,1,
90,5,Anganwadis,BHARATHIYAR NAGAR 6 th STREET,Ennure sunami quatrers near,13,89,13.187323,80.315195,P. Suresh,23/01/2015,23/01/2015,27/01/2015,1,
96,5,NNMP shed,BHARATHIYAR NAGAR 6 th STREET,sunami house near,13,90,13.187351,80.315185,P. Suresh,23/01/2015,23/01/2015,27/01/2015,1,
95,5,NNMP shed,BHARATHIYAR NAGAR 6 th STREET,sunami house.57,13,91,13.187313,80.315152,P. Suresh,23/01/2015,23/01/2015,27/01/2015,1,
92,5,Anganwadis,SAKTHIPURAM 2 nd STREET,sri rangam new town.57,13,92,13.179044,80.309954,P. Suresh,23/01/2015,23/01/2015,27/01/2015,1,
91,5,Anganwadis,KVK KUPPAM,mrf company.57,13,93,13.176763,80.312622,P. Suresh,23/01/2015,23/01/2015,27/01/2015,1,
97,5,NNMP shed,KVK KUPPAM,mrf company.57,13,94,13.176786,80.312582,P. Suresh,23/01/2015,23/01/2015,27/01/2015,1,
83,4,NNMP shed,Mankali amman koil street,school inside .ennure,13,95,13.192042,80.309154,P. Suresh,23/01/2015,23/01/2015,27/01/2015,1,
79,4,Dispensary,Mankali Amman Koil Street,Ernavoor.57,13,96,13.191893,80.308999,P. Suresh,23/01/2015,23/01/2015,27/01/2015,1,
78,4,Anganwadis,Thiruveedi amman koil street,Amma hotal near ennur,13,97,13.190113,80.307159,P. Suresh,23/01/2015,23/01/2015,27/01/2015,1,
85,4,NNMP shed,Thiruveedi amman koil street,matha church.57,13,98,13.190132,80.307141,P. Suresh,23/01/2015,23/01/2015,27/01/2015,1,
81,4,High school,POONTHOTTAM SCHOOL,mankaliyammn kovil street.57,13,99,13.191901,80.309151,P. Suresh,23/01/2015,23/01/2015,27/01/2015,1,
86,4,Primary school,POONTHOTTAM SCHOOL,itc quarters.19,13,100,13.192013,80.309153,P. Suresh,23/01/2015,23/01/2015,27/01/2015,1,
,4,division offices,mankuliamman kovil street.,Ennure 57,13,101,13.191882,80.309084,P. Suresh,23/01/2015,23/01/2015,27/01/2015,1,
82,4,Middle school,SANNTHI ST,mankaliyammn kovil street.57,13,102,13.191828,80.309152,P. Suresh,23/01/2015,23/01/2015,27/01/2015,1,
80,4,Dispensary,Ramanathapuram,"wimconagar,thiruvnatriur.57",13,103,13.180186,80.302304,P. Suresh,23/01/2015,23/01/2015,27/01/2015,1,
84,4,NNMP shed,Ramanathapuram 10th street,vimco railway station.57,13,104,13.180382,80.302205,P. Suresh,23/01/2015,23/01/2015,27/01/2015,1,
104,6,Middle school,SATHYA MOORTHY NAGAR,thiruvetriyur .57,13,105,13.179626,80.294522,P. Suresh,23/01/2015,23/01/2015,27/01/2015,1,
106,6,NNMP shed,SATHYAMOORTHY NAGAR,near bus stop .57,13,106,13.179971,80.294522,P. Suresh,23/01/2015,23/01/2015,27/01/2015,1,
102,6,Anganwadis,SATHYAMOORTHY NAGAR,near bus stop .57,13,107,13.176597,80.294293,P. Suresh,23/01/2015,23/01/2015,27/01/2015,1,
